Node Number	Total Deformation (m)
197	2.0194e-012
198	2.2274e-012
199	1.7948e-013
200	3.7941e-013
201	5.8483e-013
202	7.8989e-013
203	9.9516e-013
204	1.2005e-012
205	1.4061e-012
206	1.6121e-012
207	1.8186e-012
208	2.0255e-012
209	2.2329e-012
210	1.8601e-013
211	3.9243e-013
212	6.02e-013
213	8.0842e-013
214	1.013e-012
215	1.2166e-012
216	1.4202e-012
217	1.6243e-012
218	1.8291e-012
219	2.0349e-012
220	2.2415e-012
221	1.9865e-013
222	4.1624e-013
223	6.3069e-013
224	8.3629e-013
225	1.0381e-012
226	1.2381e-012
227	1.4384e-012
228	1.6397e-012
229	1.8424e-012
230	2.0466e-012
231	2.2523e-012
232	2.3547e-013
233	4.6059e-013
234	6.741e-013
235	8.7343e-013
236	1.0688e-012
237	1.2632e-012
238	1.4589e-012
239	1.6569e-012
240	1.8571e-012
241	2.0597e-012
242	2.2641e-012
243	2.2498e-013
244	4.3983e-013
245	6.4806e-013
246	8.474e-013
247	1.0449e-012
248	1.2423e-012
249	1.441e-012
250	1.6415e-012
251	1.8438e-012
252	2.0478e-012
253	2.2533e-012
254	1.8601e-013
255	3.9243e-013
256	6.02e-013
257	8.0842e-013
258	1.013e-012
259	1.2166e-012
260	1.4202e-012
261	1.6243e-012
262	1.8291e-012
263	2.0349e-012
264	2.2415e-012
265	1.7203e-013
266	3.6644e-013
267	5.7113e-013
268	7.7886e-013
269	9.8683e-013
270	1.1943e-012
271	1.4015e-012
272	1.6086e-012
273	1.8157e-012
274	2.0231e-012
275	2.2309e-012
276	1.6469e-013
277	3.5203e-013
278	5.5251e-013
279	7.5912e-013
280	9.6808e-013
281	1.1776e-012
282	1.3871e-012
283	1.5963e-012
284	1.8051e-012
285	2.0137e-012
286	2.2224e-012
287	1.6119e-013
288	3.4489e-013
289	5.4265e-013
290	7.4801e-013
291	9.5701e-013
292	1.1674e-012
293	1.3781e-012
294	1.5884e-012
295	1.7982e-012
296	2.0076e-012
297	2.2168e-012
298	1.6012e-013
299	3.427e-013
300	5.3956e-013
301	7.4443e-013
302	9.5337e-013
303	1.164e-012
304	1.375e-012
305	1.5857e-012
306	1.7959e-012
307	2.0055e-012
308	2.2149e-012
309	1.6119e-013
310	3.4489e-013
311	5.4265e-013
312	7.4801e-013
313	9.5701e-013
314	1.1674e-012
315	1.3781e-012
316	1.5884e-012
317	1.7982e-012
318	2.0076e-012
319	2.2168e-012
320	1.6469e-013
321	3.5203e-013
322	5.5251e-013
323	7.5912e-013
324	9.6808e-013
325	1.1776e-012
326	1.3871e-012
327	1.5963e-012
328	1.8051e-012
329	2.0137e-012
330	2.2224e-012
331	1.7203e-013
332	3.6644e-013
333	5.7113e-013
334	7.7886e-013
335	9.8683e-013
336	1.1943e-012
337	1.4015e-012
338	1.6086e-012
339	1.8157e-012
340	2.0231e-012
341	2.2309e-012
342	1.8601e-013
343	3.9243e-013
344	6.02e-013
345	8.0842e-013
346	1.013e-012
347	1.2166e-012
348	1.4202e-012
349	1.6243e-012
350	1.8291e-012
351	2.0349e-012
352	2.2415e-012
353	2.2498e-013
354	4.3983e-013
355	6.4806e-013
356	8.474e-013
357	1.0449e-012
358	1.2423e-012
359	1.441e-012
360	1.6415e-012
361	1.8438e-012
362	2.0478e-012
363	2.2533e-012
364	2.198e-013
365	4.2863e-013
366	6.3257e-013
367	8.3011e-013
368	1.0278e-012
369	1.2266e-012
370	1.4272e-012
371	1.6294e-012
372	1.8332e-012
373	2.0383e-012
374	2.2445e-012
375	1.7948e-013
376	3.7941e-013
377	5.8483e-013
378	7.8989e-013
379	9.9516e-013
380	1.2005e-012
381	1.4061e-012
382	1.6121e-012
383	1.8186e-012
384	2.0255e-012
385	2.2329e-012
386	1.6469e-013
387	3.5203e-013
388	5.5251e-013
389	7.5912e-013
390	9.6808e-013
391	1.1776e-012
392	1.3871e-012
393	1.5963e-012
394	1.8051e-012
395	2.0137e-012
396	2.2224e-012
397	1.5678e-013
398	3.3666e-013
399	5.3285e-013
400	7.3847e-013
401	9.4862e-013
402	1.1604e-012
403	1.3723e-012
404	1.5837e-012
405	1.7943e-012
406	2.0043e-012
407	2.2139e-012
408	1.5295e-013
409	3.2898e-013
410	5.2238e-013
411	7.268e-013
412	9.371e-013
413	1.1499e-012
414	1.3631e-012
415	1.5757e-012
416	1.7874e-012
417	1.9981e-012
418	2.2083e-012
419	1.5178e-013
420	3.2661e-013
421	5.1909e-013
422	7.2304e-013
423	9.3331e-013
424	1.1463e-012
425	1.3599e-012
426	1.573e-012
427	1.785e-012
428	1.996e-012
429	2.2064e-012
430	1.5295e-013
431	3.2898e-013
432	5.2238e-013
433	7.268e-013
434	9.371e-013
435	1.1499e-012
436	1.3631e-012
437	1.5757e-012
438	1.7874e-012
439	1.9981e-012
440	2.2083e-012
441	1.5678e-013
442	3.3666e-013
443	5.3285e-013
444	7.3847e-013
445	9.4862e-013
446	1.1604e-012
447	1.3723e-012
448	1.5837e-012
449	1.7943e-012
450	2.0043e-012
451	2.2139e-012
452	1.6469e-013
453	3.5203e-013
454	5.5251e-013
455	7.5912e-013
456	9.6808e-013
457	1.1776e-012
458	1.3871e-012
459	1.5963e-012
460	1.8051e-012
461	2.0137e-012
462	2.2224e-012
463	1.7948e-013
464	3.7941e-013
465	5.8483e-013
466	7.8989e-013
467	9.9516e-013
468	1.2005e-012
469	1.4061e-012
470	1.6121e-012
471	1.8186e-012
472	2.0255e-012
473	2.2329e-012
474	2.198e-013
475	4.2863e-013
476	6.3257e-013
477	8.3011e-013
478	1.0278e-012
479	1.2266e-012
480	1.4272e-012
481	1.6294e-012
482	1.8332e-012
483	2.0383e-012
484	2.2445e-012
485	2.1742e-013
486	4.232e-013
487	6.2444e-013
488	8.2039e-013
489	1.0177e-012
490	1.217e-012
491	1.4185e-012
492	1.6217e-012
493	1.8264e-012
494	2.0321e-012
495	2.2388e-012
496	1.7642e-013
497	3.7302e-013
498	5.7579e-013
499	7.7947e-013
500	9.8462e-013
501	1.1906e-012
502	1.3973e-012
503	1.6044e-012
504	1.8118e-012
505	2.0194e-012
506	2.2274e-012
507	1.6119e-013
508	3.4489e-013
509	5.4265e-013
510	7.4801e-013
511	9.5701e-013
512	1.1674e-012
513	1.3781e-012
514	1.5884e-012
515	1.7982e-012
516	2.0076e-012
517	2.2168e-012
518	1.5295e-013
519	3.2898e-013
520	5.2238e-013
521	7.268e-013
522	9.371e-013
523	1.1499e-012
524	1.3631e-012
525	1.5757e-012
526	1.7874e-012
527	1.9981e-012
528	2.2083e-012
529	1.4894e-013
530	3.2098e-013
531	5.1155e-013
532	7.1479e-013
533	9.253e-013
534	1.1391e-012
535	1.3537e-012
536	1.5676e-012
537	1.7804e-012
538	1.992e-012
539	2.2027e-012
540	1.4771e-013
541	3.1851e-013
542	5.0814e-013
543	7.1091e-013
544	9.2141e-013
545	1.1355e-012
546	1.3505e-012
547	1.5648e-012
548	1.778e-012
549	1.9898e-012
550	2.2008e-012
551	1.4894e-013
552	3.2098e-013
553	5.1155e-013
554	7.1479e-013
555	9.253e-013
556	1.1391e-012
557	1.3537e-012
558	1.5676e-012
559	1.7804e-012
560	1.992e-012
561	2.2027e-012
562	1.5295e-013
563	3.2898e-013
564	5.2238e-013
565	7.268e-013
566	9.371e-013
567	1.1499e-012
568	1.3631e-012
569	1.5757e-012
570	1.7874e-012
571	1.9981e-012
572	2.2083e-012
573	1.6119e-013
574	3.4489e-013
575	5.4265e-013
576	7.4801e-013
577	9.5701e-013
578	1.1674e-012
579	1.3781e-012
580	1.5884e-012
581	1.7982e-012
582	2.0076e-012
583	2.2168e-012
584	1.7642e-013
585	3.7302e-013
586	5.7579e-013
587	7.7947e-013
588	9.8462e-013
589	1.1906e-012
590	1.3973e-012
591	1.6044e-012
592	1.8118e-012
593	2.0194e-012
594	2.2274e-012
595	2.1742e-013
596	4.232e-013
597	6.2444e-013
598	8.2039e-013
599	1.0177e-012
600	1.217e-012
601	1.4185e-012
602	1.6217e-012
603	1.8264e-012
604	2.0321e-012
605	2.2388e-012
606	2.1671e-013
607	4.2154e-013
608	6.219e-013
609	8.1727e-013
610	1.0144e-012
611	1.2138e-012
612	1.4155e-012
613	1.6191e-012
614	1.824e-012
615	2.03e-012
616	2.2368e-012
617	1.7548e-013
618	3.7107e-013
619	5.7296e-013
620	7.7612e-013
621	9.8116e-013
622	1.1873e-012
623	1.3943e-012
624	1.6018e-012
625	1.8094e-012
626	2.0173e-012
627	2.2254e-012
628	1.6012e-013
629	3.427e-013
630	5.3956e-013
631	7.4443e-013
632	9.5337e-013
633	1.164e-012
634	1.375e-012
635	1.5857e-012
636	1.7959e-012
637	2.0055e-012
638	2.2149e-012
639	1.5178e-013
640	3.2661e-013
641	5.1909e-013
642	7.2304e-013
643	9.3331e-013
644	1.1463e-012
645	1.3599e-012
646	1.573e-012
647	1.785e-012
648	1.996e-012
649	2.2064e-012
650	1.4771e-013
651	3.1851e-013
652	5.0814e-013
653	7.1091e-013
654	9.2141e-013
655	1.1355e-012
656	1.3505e-012
657	1.5648e-012
658	1.778e-012
659	1.9898e-012
660	2.2008e-012
661	1.4645e-013
662	3.16e-013
663	5.0469e-013
664	7.07e-013
665	9.1749e-013
666	1.1319e-012
667	1.3472e-012
668	1.562e-012
669	1.7756e-012
670	1.9877e-012
671	2.1989e-012
672	1.4771e-013
673	3.1851e-013
674	5.0814e-013
675	7.1091e-013
676	9.2141e-013
677	1.1355e-012
678	1.3505e-012
679	1.5648e-012
680	1.778e-012
681	1.9898e-012
682	2.2008e-012
683	1.5178e-013
684	3.2661e-013
685	5.1909e-013
686	7.2304e-013
687	9.3331e-013
688	1.1463e-012
689	1.3599e-012
690	1.573e-012
691	1.785e-012
692	1.996e-012
693	2.2064e-012
694	1.6012e-013
695	3.427e-013
696	5.3956e-013
697	7.4443e-013
698	9.5337e-013
699	1.164e-012
700	1.375e-012
701	1.5857e-012
702	1.7959e-012
703	2.0055e-012
704	2.2149e-012
705	1.7548e-013
706	3.7107e-013
707	5.7296e-013
708	7.7612e-013
709	9.8116e-013
710	1.1873e-012
711	1.3943e-012
712	1.6018e-012
713	1.8094e-012
714	2.0173e-012
715	2.2254e-012
716	2.1671e-013
717	4.2154e-013
718	6.219e-013
719	8.1727e-013
720	1.0144e-012
721	1.2138e-012
722	1.4155e-012
723	1.6191e-012
724	1.824e-012
725	2.03e-012
726	2.2368e-012
727	2.1742e-013
728	4.232e-013
729	6.2444e-013
730	8.2039e-013
731	1.0177e-012
732	1.217e-012
733	1.4185e-012
734	1.6217e-012
735	1.8264e-012
736	2.0321e-012
737	2.2388e-012
738	1.7642e-013
739	3.7302e-013
740	5.7579e-013
741	7.7947e-013
742	9.8462e-013
743	1.1906e-012
744	1.3973e-012
745	1.6044e-012
746	1.8118e-012
747	2.0194e-012
748	2.2274e-012
749	1.6119e-013
750	3.4489e-013
751	5.4265e-013
752	7.4801e-013
753	9.5701e-013
754	1.1674e-012
755	1.3781e-012
756	1.5884e-012
757	1.7982e-012
758	2.0076e-012
759	2.2168e-012
760	1.5295e-013
761	3.2898e-013
762	5.2238e-013
763	7.268e-013
764	9.371e-013
765	1.1499e-012
766	1.3631e-012
767	1.5757e-012
768	1.7874e-012
769	1.9981e-012
770	2.2083e-012
771	1.4894e-013
772	3.2098e-013
773	5.1155e-013
774	7.1479e-013
775	9.253e-013
776	1.1391e-012
777	1.3537e-012
778	1.5676e-012
779	1.7804e-012
780	1.992e-012
781	2.2027e-012
782	1.4771e-013
783	3.1851e-013
784	5.0814e-013
785	7.1091e-013
786	9.2141e-013
787	1.1355e-012
788	1.3505e-012
789	1.5648e-012
790	1.778e-012
791	1.9898e-012
792	2.2008e-012
793	1.4894e-013
794	3.2098e-013
795	5.1155e-013
796	7.1479e-013
797	9.253e-013
798	1.1391e-012
799	1.3537e-012
800	1.5676e-012
801	1.7804e-012
802	1.992e-012
803	2.2027e-012
804	1.5295e-013
805	3.2898e-013
806	5.2238e-013
807	7.268e-013
808	9.371e-013
809	1.1499e-012
810	1.3631e-012
811	1.5757e-012
812	1.7874e-012
813	1.9981e-012
814	2.2083e-012
815	1.6119e-013
816	3.4489e-013
817	5.4265e-013
818	7.4801e-013
819	9.5701e-013
820	1.1674e-012
821	1.3781e-012
822	1.5884e-012
823	1.7982e-012
824	2.0076e-012
825	2.2168e-012
826	1.7642e-013
827	3.7302e-013
828	5.7579e-013
829	7.7947e-013
830	9.8462e-013
831	1.1906e-012
832	1.3973e-012
833	1.6044e-012
834	1.8118e-012
835	2.0194e-012
836	2.2274e-012
837	2.1742e-013
838	4.232e-013
839	6.2444e-013
840	8.2039e-013
841	1.0177e-012
842	1.217e-012
843	1.4185e-012
844	1.6217e-012
845	1.8264e-012
846	2.0321e-012
847	2.2388e-012
848	2.198e-013
849	4.2863e-013
850	6.3257e-013
851	8.3011e-013
852	1.0278e-012
853	1.2266e-012
854	1.4272e-012
855	1.6294e-012
856	1.8332e-012
857	2.0383e-012
858	2.2445e-012
859	1.7948e-013
860	3.7941e-013
861	5.8483e-013
862	7.8989e-013
863	9.9516e-013
864	1.2005e-012
865	1.4061e-012
866	1.6121e-012
867	1.8186e-012
868	2.0255e-012
869	2.2329e-012
870	1.6469e-013
871	3.5203e-013
872	5.5251e-013
873	7.5912e-013
874	9.6808e-013
875	1.1776e-012
876	1.3871e-012
877	1.5963e-012
878	1.8051e-012
879	2.0137e-012
880	2.2224e-012
881	1.5678e-013
882	3.3666e-013
883	5.3285e-013
884	7.3847e-013
885	9.4862e-013
886	1.1604e-012
887	1.3723e-012
888	1.5837e-012
889	1.7943e-012
890	2.0043e-012
891	2.2139e-012
892	1.5295e-013
893	3.2898e-013
894	5.2238e-013
895	7.268e-013
896	9.371e-013
897	1.1499e-012
898	1.3631e-012
899	1.5757e-012
900	1.7874e-012
901	1.9981e-012
902	2.2083e-012
903	1.5178e-013
904	3.2661e-013
905	5.1909e-013
906	7.2304e-013
907	9.3331e-013
908	1.1463e-012
909	1.3599e-012
910	1.573e-012
911	1.785e-012
912	1.996e-012
913	2.2064e-012
914	1.5295e-013
915	3.2898e-013
916	5.2238e-013
917	7.268e-013
918	9.371e-013
919	1.1499e-012
920	1.3631e-012
921	1.5757e-012
922	1.7874e-012
923	1.9981e-012
924	2.2083e-012
925	1.5678e-013
926	3.3666e-013
927	5.3285e-013
928	7.3847e-013
929	9.4862e-013
930	1.1604e-012
931	1.3723e-012
932	1.5837e-012
933	1.7943e-012
934	2.0043e-012
935	2.2139e-012
936	1.6469e-013
937	3.5203e-013
938	5.5251e-013
939	7.5912e-013
940	9.6808e-013
941	1.1776e-012
942	1.3871e-012
943	1.5963e-012
944	1.8051e-012
945	2.0137e-012
946	2.2224e-012
947	1.7948e-013
948	3.7941e-013
949	5.8483e-013
950	7.8989e-013
951	9.9516e-013
952	1.2005e-012
953	1.4061e-012
954	1.6121e-012
955	1.8186e-012
956	2.0255e-012
957	2.2329e-012
958	2.198e-013
959	4.2863e-013
960	6.3257e-013
961	8.3011e-013
962	1.0278e-012
963	1.2266e-012
964	1.4272e-012
965	1.6294e-012
966	1.8332e-012
967	2.0383e-012
968	2.2445e-012
969	2.2498e-013
970	4.3983e-013
971	6.4806e-013
972	8.474e-013
973	1.0449e-012
974	1.2423e-012
975	1.441e-012
976	1.6415e-012
977	1.8438e-012
978	2.0478e-012
979	2.2533e-012
980	1.8601e-013
981	3.9243e-013
982	6.02e-013
983	8.0842e-013
984	1.013e-012
985	1.2166e-012
986	1.4202e-012
987	1.6243e-012
988	1.8291e-012
989	2.0349e-012
990	2.2415e-012
991	1.7203e-013
992	3.6644e-013
993	5.7113e-013
994	7.7886e-013
995	9.8683e-013
996	1.1943e-012
997	1.4015e-012
998	1.6086e-012
999	1.8157e-012
1000	2.0231e-012
1001	2.2309e-012
1002	1.6469e-013
1003	3.5203e-013
1004	5.5251e-013
1005	7.5912e-013
1006	9.6808e-013
1007	1.1776e-012
1008	1.3871e-012
1009	1.5963e-012
1010	1.8051e-012
1011	2.0137e-012
1012	2.2224e-012
1013	1.6119e-013
1014	3.4489e-013
1015	5.4265e-013
1016	7.4801e-013
1017	9.5701e-013
1018	1.1674e-012
1019	1.3781e-012
1020	1.5884e-012
1021	1.7982e-012
1022	2.0076e-012
1023	2.2168e-012
1024	1.6012e-013
1025	3.427e-013
1026	5.3956e-013
1027	7.4443e-013
1028	9.5337e-013
1029	1.164e-012
1030	1.375e-012
1031	1.5857e-012
1032	1.7959e-012
1033	2.0055e-012
1034	2.2149e-012
1035	1.6119e-013
1036	3.4489e-013
1037	5.4265e-013
1038	7.4801e-013
1039	9.5701e-013
1040	1.1674e-012
1041	1.3781e-012
1042	1.5884e-012
1043	1.7982e-012
1044	2.0076e-012
1045	2.2168e-012
1046	1.6469e-013
1047	3.5203e-013
1048	5.5251e-013
1049	7.5912e-013
1050	9.6808e-013
1051	1.1776e-012
1052	1.3871e-012
1053	1.5963e-012
1054	1.8051e-012
1055	2.0137e-012
1056	2.2224e-012
1057	1.7203e-013
1058	3.6644e-013
1059	5.7113e-013
1060	7.7886e-013
1061	9.8683e-013
1062	1.1943e-012
1063	1.4015e-012
1064	1.6086e-012
1065	1.8157e-012
1066	2.0231e-012
1067	2.2309e-012
1068	1.8601e-013
1069	3.9243e-013
1070	6.02e-013
1071	8.0842e-013
1072	1.013e-012
1073	1.2166e-012
1074	1.4202e-012
1075	1.6243e-012
1076	1.8291e-012
1077	2.0349e-012
1078	2.2415e-012
1079	2.2498e-013
1080	4.3983e-013
1081	6.4806e-013
1082	8.474e-013
1083	1.0449e-012
1084	1.2423e-012
1085	1.441e-012
1086	1.6415e-012
1087	1.8438e-012
1088	2.0478e-012
1089	2.2533e-012
1090	2.3547e-013
1091	4.6059e-013
1092	6.741e-013
1093	8.7343e-013
1094	1.0688e-012
1095	1.2632e-012
1096	1.4589e-012
1097	1.6569e-012
1098	1.8571e-012
1099	2.0597e-012
1100	2.2641e-012
1101	1.9865e-013
1102	4.1624e-013
1103	6.3069e-013
1104	8.3629e-013
1105	1.0381e-012
1106	1.2381e-012
1107	1.4384e-012
1108	1.6397e-012
1109	1.8424e-012
1110	2.0466e-012
1111	2.2523e-012
1112	1.8601e-013
1113	3.9243e-013
1114	6.02e-013
1115	8.0842e-013
1116	1.013e-012
1117	1.2166e-012
1118	1.4202e-012
1119	1.6243e-012
1120	1.8291e-012
1121	2.0349e-012
1122	2.2415e-012
1123	1.7948e-013
1124	3.7941e-013
1125	5.8483e-013
1126	7.8989e-013
1127	9.9516e-013
1128	1.2005e-012
1129	1.4061e-012
1130	1.6121e-012
1131	1.8186e-012
1132	2.0255e-012
1133	2.2329e-012
1134	1.7642e-013
1135	3.7302e-013
1136	5.7579e-013
1137	7.7947e-013
1138	9.8462e-013
1139	1.1906e-012
1140	1.3973e-012
1141	1.6044e-012
1142	1.8118e-012
1143	2.0194e-012
1144	2.2274e-012
1145	1.7548e-013
1146	3.7107e-013
1147	5.7296e-013
1148	7.7612e-013
1149	9.8116e-013
1150	1.1873e-012
1151	1.3943e-012
1152	1.6018e-012
1153	1.8094e-012
1154	2.0173e-012
1155	2.2254e-012
1156	1.7642e-013
1157	3.7302e-013
1158	5.7579e-013
1159	7.7947e-013
1160	9.8462e-013
1161	1.1906e-012
1162	1.3973e-012
1163	1.6044e-012
1164	1.8118e-012
1165	2.0194e-012
1166	2.2274e-012
1167	1.7948e-013
1168	3.7941e-013
1169	5.8483e-013
1170	7.8989e-013
1171	9.9516e-013
1172	1.2005e-012
1173	1.4061e-012
1174	1.6121e-012
1175	1.8186e-012
1176	2.0255e-012
1177	2.2329e-012
1178	1.8601e-013
1179	3.9243e-013
1180	6.02e-013
1181	8.0842e-013
1182	1.013e-012
1183	1.2166e-012
1184	1.4202e-012
1185	1.6243e-012
1186	1.8291e-012
1187	2.0349e-012
1188	2.2415e-012
1189	1.9865e-013
1190	4.1624e-013
1191	6.3069e-013
1192	8.3629e-013
1193	1.0381e-012
1194	1.2381e-012
1195	1.4384e-012
1196	1.6397e-012
1197	1.8424e-012
1198	2.0466e-012
1199	2.2523e-012
1200	2.3547e-013
1201	4.6059e-013
1202	6.741e-013
1203	8.7343e-013
1204	1.0688e-012
1205	1.2632e-012
1206	1.4589e-012
1207	1.6569e-012
1208	1.8571e-012
1209	2.0597e-012
1210	2.2641e-012
1211	2.6749e-013
1212	5.0019e-013
1213	7.1388e-013
1214	9.083e-013
1215	1.0982e-012
1216	1.2875e-012
1217	1.4792e-012
1218	1.6739e-012
1219	1.8719e-012
1220	2.0728e-012
1221	2.2762e-012
1222	2.3547e-013
1223	4.6059e-013
1224	6.741e-013
1225	8.7343e-013
1226	1.0688e-012
1227	1.2632e-012
1228	1.4589e-012
1229	1.6569e-012
1230	1.8571e-012
1231	2.0597e-012
1232	2.2641e-012
1233	2.2498e-013
1234	4.3983e-013
1235	6.4806e-013
1236	8.474e-013
1237	1.0449e-012
1238	1.2423e-012
1239	1.441e-012
1240	1.6415e-012
1241	1.8438e-012
1242	2.0478e-012
1243	2.2533e-012
1244	2.198e-013
1245	4.2863e-013
1246	6.3257e-013
1247	8.3011e-013
1248	1.0278e-012
1249	1.2266e-012
1250	1.4272e-012
1251	1.6294e-012
1252	1.8332e-012
1253	2.0383e-012
1254	2.2445e-012
1255	2.1742e-013
1256	4.232e-013
1257	6.2444e-013
1258	8.2039e-013
1259	1.0177e-012
1260	1.217e-012
1261	1.4185e-012
1262	1.6217e-012
1263	1.8264e-012
1264	2.0321e-012
1265	2.2388e-012
1266	2.1671e-013
1267	4.2154e-013
1268	6.219e-013
1269	8.1727e-013
1270	1.0144e-012
1271	1.2138e-012
1272	1.4155e-012
1273	1.6191e-012
1274	1.824e-012
1275	2.03e-012
1276	2.2368e-012
1277	2.1742e-013
1278	4.232e-013
1279	6.2444e-013
1280	8.2039e-013
1281	1.0177e-012
1282	1.217e-012
1283	1.4185e-012
1284	1.6217e-012
1285	1.8264e-012
1286	2.0321e-012
1287	2.2388e-012
1288	2.198e-013
1289	4.2863e-013
1290	6.3257e-013
1291	8.3011e-013
1292	1.0278e-012
1293	1.2266e-012
1294	1.4272e-012
1295	1.6294e-012
1296	1.8332e-012
1297	2.0383e-012
1298	2.2445e-012
1299	2.2498e-013
1300	4.3983e-013
1301	6.4806e-013
1302	8.474e-013
1303	1.0449e-012
1304	1.2423e-012
1305	1.441e-012
1306	1.6415e-012
1307	1.8438e-012
1308	2.0478e-012
1309	2.2533e-012
1310	2.3547e-013
1311	4.6059e-013
1312	6.741e-013
1313	8.7343e-013
1314	1.0688e-012
1315	1.2632e-012
1316	1.4589e-012
1317	1.6569e-012
1318	1.8571e-012
1319	2.0597e-012
1320	2.2641e-012
1321	2.6749e-013
1322	5.0019e-013
1323	7.1388e-013
1324	9.083e-013
1325	1.0982e-012
1326	1.2875e-012
1327	1.4792e-012
1328	1.6739e-012
1329	1.8719e-012
1330	2.0728e-012
1331	2.2762e-012
1332	0.
1333	0.
1334	0.
1335	0.
1336	0.
1337	0.
1338	0.
1339	0.
1340	0.
1341	0.
1342	0.
1343	0.
1344	0.
1345	0.
1346	0.
1347	0.
1348	0.
1349	0.
1350	0.
1351	0.
1352	0.
1353	0.
1354	0.
1355	0.
1356	0.
1357	0.
1358	0.
1359	0.
1360	0.
1361	0.
1362	0.
1363	0.
1364	0.
1365	0.
1366	0.
1367	0.
1368	0.
1369	0.
1370	0.
1371	0.
1372	0.
1373	0.
1374	0.
1375	0.
1376	0.
1377	0.
1378	0.
1379	0.
1380	0.
1381	0.
1382	0.
1383	0.
1384	0.
1385	0.
1386	0.
1387	0.
1388	0.
1389	0.
1390	0.
1391	0.
1392	0.
1393	0.
1394	0.
1395	0.
1396	0.
1397	0.
1398	0.
1399	0.
1400	0.
1401	0.
1402	0.
1403	0.
1404	0.
1405	0.
1406	0.
1407	0.
1408	0.
