Node Number	Maximum Principal Stress (Pa)
462	5.7771e-002
463	-0.97928
464	-0.45311
465	-0.21865
466	-9.2359e-002
467	-3.1135e-002
468	1.6299e-003
469	1.9798e-002
470	3.0125e-002
471	3.6385e-002
472	4.3075e-002
473	5.4348e-002
474	-0.57654
475	-8.1252e-002
476	-5.8636e-002
477	-1.4034e-002
478	3.6167e-004
479	1.4845e-002
480	3.0371e-002
481	3.7647e-002
482	3.9715e-002
483	4.2534e-002
484	5.1118e-002
485	-0.57587
486	-8.1224e-002
487	-6.0634e-002
488	-1.7072e-002
489	-4.9638e-003
490	4.4261e-003
491	2.7056e-002
492	4.0321e-002
493	4.5108e-002
494	4.9752e-002
495	6.1833e-002
496	-0.97899
497	-0.45384
498	-0.22309
499	-9.912e-002
500	-3.9736e-002
501	-8.7039e-003
502	1.0507e-002
503	2.859e-002
504	4.0124e-002
505	5.0051e-002
506	6.5436e-002
507	-1.2073
508	-0.72821
509	-0.40192
510	-0.20593
511	-9.5641e-002
512	-3.3263e-002
513	8.0298e-004
514	2.1934e-002
515	3.6984e-002
516	5.0426e-002
517	6.9116e-002
518	-1.3262
519	-0.88275
520	-0.53753
521	-0.30076
522	-0.15075
523	-6.1272e-002
524	-1.0545e-002
525	1.7832e-002
526	3.5475e-002
527	5.1189e-002
528	7.275e-002
529	-1.3849
530	-0.96498
531	-0.61464
532	-0.35852
533	-0.18752
534	-8.1708e-002
535	-2.0212e-002
536	1.427e-002
537	3.4972e-002
538	5.2224e-002
539	7.5605e-002
540	-1.3897
541	-0.96699
542	-0.62072
543	-0.36599
544	-0.19451
545	-8.7327e-002
546	-2.426e-002
547	1.1697e-002
548	3.4851e-002
549	5.4209e-002
550	7.9685e-002
551	-1.3849
552	-0.96498
553	-0.61464
554	-0.35852
555	-0.18752
556	-8.1708e-002
557	-2.0212e-002
558	1.427e-002
559	3.4972e-002
560	5.2224e-002
561	7.5605e-002
562	-1.3262
563	-0.88275
564	-0.53753
565	-0.30076
566	-0.15075
567	-6.1272e-002
568	-1.0545e-002
569	1.7832e-002
570	3.5475e-002
571	5.1189e-002
572	7.275e-002
573	-1.2073
574	-0.72821
575	-0.40192
576	-0.20593
577	-9.5641e-002
578	-3.3263e-002
579	8.0291e-004
580	2.1934e-002
581	3.6984e-002
582	5.0426e-002
583	6.9116e-002
584	-0.97899
585	-0.45384
586	-0.22309
587	-9.912e-002
588	-3.9736e-002
589	-8.704e-003
590	1.0507e-002
591	2.8589e-002
592	4.0124e-002
593	5.0051e-002
594	6.5436e-002
595	-0.57587
596	-8.1224e-002
597	-6.0634e-002
598	-1.7072e-002
599	-4.9638e-003
600	4.426e-003
601	2.7056e-002
602	4.0321e-002
603	4.5108e-002
604	4.9752e-002
605	6.1833e-002
606	-0.57594
607	-8.1092e-002
608	-6.0885e-002
609	-1.7726e-002
610	-6.2465e-003
611	1.9933e-004
612	2.5311e-002
613	4.1035e-002
614	4.6878e-002
615	5.2256e-002
616	6.5693e-002
617	-0.97904
618	-0.45386
619	-0.22393
620	-0.10068
621	-4.1939e-002
622	-1.1898e-002
623	2.9337e-003
624	2.7578e-002
625	4.1305e-002
626	5.2457e-002
627	6.9426e-002
628	-1.2077
629	-0.72864
630	-0.40357
631	-0.20852
632	-9.8805e-002
633	-3.6889e-002
634	-3.9924e-003
635	1.8957e-002
636	3.766e-002
637	5.2756e-002
638	7.3195e-002
639	-1.3273
640	-0.8838
641	-0.5401
642	-0.30446
643	-0.15495
644	-6.5556e-002
645	-1.4845e-002
646	1.3987e-002
647	3.5695e-002
648	5.3467e-002
649	7.6918e-002
650	-1.3897
651	-0.96699
652	-0.62072
653	-0.36599
654	-0.19451
655	-8.7327e-002
656	-2.426e-002
657	1.1697e-002
658	3.4851e-002
659	5.4209e-002
660	7.9685e-002
661	-1.4091
662	-0.99302
663	-0.64679
664	-0.38688
665	-0.20858
666	-9.5351e-002
667	-2.7923e-002
668	1.0831e-002
669	3.4634e-002
670	5.4519e-002
671	8.0705e-002
672	-1.3897
673	-0.96699
674	-0.62072
675	-0.36599
676	-0.19451
677	-8.7327e-002
678	-2.426e-002
679	1.1697e-002
680	3.4851e-002
681	5.4209e-002
682	7.9685e-002
683	-1.3273
684	-0.8838
685	-0.5401
686	-0.30446
687	-0.15495
688	-6.5556e-002
689	-1.4845e-002
690	1.3987e-002
691	3.5695e-002
692	5.3467e-002
693	7.6918e-002
694	-1.2077
695	-0.72864
696	-0.40357
697	-0.20852
698	-9.8805e-002
699	-3.6889e-002
700	-3.9924e-003
701	1.8957e-002
702	3.766e-002
703	5.2756e-002
704	7.3195e-002
705	-0.97904
706	-0.45386
707	-0.22393
708	-0.10068
709	-4.1939e-002
710	-1.1898e-002
711	2.9336e-003
712	2.7578e-002
713	4.1305e-002
714	5.2457e-002
715	6.9426e-002
716	-0.57594
717	-8.1092e-002
718	-6.0885e-002
719	-1.7726e-002
720	-6.2466e-003
721	1.9925e-004
722	2.531e-002
723	4.1035e-002
724	4.6878e-002
725	5.2256e-002
726	6.5693e-002
727	-0.57587
728	-8.1224e-002
729	-6.0634e-002
730	-1.7072e-002
731	-4.9638e-003
732	4.4261e-003
733	2.7056e-002
734	4.0322e-002
735	4.5108e-002
736	4.9752e-002
737	6.1833e-002
738	-0.97899
739	-0.45384
740	-0.22309
741	-9.912e-002
742	-3.9736e-002
743	-8.704e-003
744	1.0507e-002
745	2.859e-002
746	4.0123e-002
747	5.0051e-002
748	6.5436e-002
749	-1.2073
750	-0.72821
751	-0.40192
752	-0.20593
753	-9.5641e-002
754	-3.3263e-002
755	8.0293e-004
756	2.1934e-002
757	3.6984e-002
758	5.0426e-002
759	6.9116e-002
760	-1.3262
761	-0.88275
762	-0.53753
763	-0.30076
764	-0.15075
765	-6.1272e-002
766	-1.0545e-002
767	1.7832e-002
768	3.5475e-002
769	5.1189e-002
770	7.275e-002
771	-1.3849
772	-0.96498
773	-0.61464
774	-0.35852
775	-0.18752
776	-8.1708e-002
777	-2.0212e-002
778	1.427e-002
779	3.4972e-002
780	5.2224e-002
781	7.5605e-002
782	-1.3897
783	-0.96699
784	-0.62072
785	-0.36599
786	-0.19451
787	-8.7327e-002
788	-2.426e-002
789	1.1697e-002
790	3.4851e-002
791	5.4209e-002
792	7.9685e-002
793	-1.3849
794	-0.96498
795	-0.61464
796	-0.35852
797	-0.18752
798	-8.1708e-002
799	-2.0212e-002
800	1.427e-002
801	3.4972e-002
802	5.2224e-002
803	7.5605e-002
804	-1.3262
805	-0.88275
806	-0.53753
807	-0.30076
808	-0.15075
809	-6.1272e-002
810	-1.0545e-002
811	1.7832e-002
812	3.5475e-002
813	5.1189e-002
814	7.275e-002
815	-1.2073
816	-0.72821
817	-0.40192
818	-0.20593
819	-9.5641e-002
820	-3.3263e-002
821	8.0294e-004
822	2.1934e-002
823	3.6984e-002
824	5.0426e-002
825	6.9116e-002
826	-0.97899
827	-0.45384
828	-0.22309
829	-9.912e-002
830	-3.9736e-002
831	-8.7039e-003
832	1.0507e-002
833	2.8589e-002
834	4.0123e-002
835	5.0051e-002
836	6.5436e-002
837	-0.57587
838	-8.1224e-002
839	-6.0634e-002
840	-1.7072e-002
841	-4.9638e-003
842	4.4261e-003
843	2.7056e-002
844	4.0321e-002
845	4.5108e-002
846	4.9753e-002
847	6.1833e-002
848	-0.57654
849	-8.1252e-002
850	-5.8636e-002
851	-1.4034e-002
852	3.6169e-004
853	1.4845e-002
854	3.0371e-002
855	3.7647e-002
856	3.9715e-002
857	4.2534e-002
858	5.1118e-002
859	-0.97928
860	-0.45311
861	-0.21865
862	-9.2359e-002
863	-3.1134e-002
864	1.63e-003
865	1.9798e-002
866	3.0125e-002
867	3.6385e-002
868	4.3075e-002
869	5.4348e-002
870	-1.2047
871	-0.72575
872	-0.39374
873	-0.1943
874	-8.2692e-002
875	-2.091e-002
876	1.0592e-002
877	2.6123e-002
878	3.4783e-002
879	4.3648e-002
880	5.7771e-002
881	-1.3097
882	-0.87639
883	-0.51611
884	-0.27641
885	-0.12962
886	-4.5572e-002
887	-6.6499e-004
888	2.2293e-002
889	3.4864e-002
890	4.532e-002
891	6.1859e-002
892	-1.3262
893	-0.88275
894	-0.53753
895	-0.30076
896	-0.15075
897	-6.1272e-002
898	-1.0545e-002
899	1.7832e-002
900	3.5475e-002
901	5.1189e-002
902	7.275e-002
903	-1.3273
904	-0.8838
905	-0.5401
906	-0.30446
907	-0.15495
908	-6.5556e-002
909	-1.4845e-002
910	1.3987e-002
911	3.5695e-002
912	5.3467e-002
913	7.6918e-002
914	-1.3262
915	-0.88275
916	-0.53753
917	-0.30076
918	-0.15075
919	-6.1272e-002
920	-1.0545e-002
921	1.7832e-002
922	3.5475e-002
923	5.1189e-002
924	7.275e-002
925	-1.3097
926	-0.87639
927	-0.51611
928	-0.27641
929	-0.12962
930	-4.5572e-002
931	-6.6499e-004
932	2.2293e-002
933	3.4864e-002
934	4.532e-002
935	6.1859e-002
936	-1.2047
937	-0.72575
938	-0.39374
939	-0.1943
940	-8.2692e-002
941	-2.091e-002
942	1.0592e-002
943	2.6123e-002
944	3.4783e-002
945	4.3648e-002
946	5.7771e-002
947	-0.97928
948	-0.45311
949	-0.21865
950	-9.2359e-002
951	-3.1135e-002
952	1.63e-003
953	1.9798e-002
954	3.0125e-002
955	3.6385e-002
956	4.3075e-002
957	5.4348e-002
958	-0.57654
959	-8.1252e-002
960	-5.8636e-002
961	-1.4034e-002
962	3.6167e-004
963	1.4845e-002
964	3.0371e-002
965	3.7647e-002
966	3.9715e-002
967	4.2534e-002
968	5.1118e-002
969	-0.57827
970	-8.2867e-002
971	-5.3582e-002
972	-4.2262e-003
973	1.3411e-002
974	2.6156e-002
975	3.1527e-002
976	3.1853e-002
977	3.0687e-002
978	3.1531e-002
979	3.6061e-002
980	-0.9766
981	-0.45127
982	-0.20532
983	-7.203e-002
984	-1.1315e-002
985	1.7007e-002
986	2.7383e-002
987	2.9688e-002
988	2.9849e-002
989	3.2298e-002
990	3.8833e-002
991	-1.1723
992	-0.71405
993	-0.35408
994	-0.15325
995	-5.1834e-002
996	-1.1727e-003
997	2.0649e-002
998	2.8763e-002
999	3.1489e-002
1000	3.4059e-002
1001	4.3423e-002
1002	-1.2047
1003	-0.72575
1004	-0.39374
1005	-0.1943
1006	-8.2692e-002
1007	-2.091e-002
1008	1.0592e-002
1009	2.6123e-002
1010	3.4783e-002
1011	4.3648e-002
1012	5.7771e-002
1013	-1.2073
1014	-0.72821
1015	-0.40192
1016	-0.20593
1017	-9.5641e-002
1018	-3.3263e-002
1019	8.0292e-004
1020	2.1934e-002
1021	3.6984e-002
1022	5.0426e-002
1023	6.9116e-002
1024	-1.2077
1025	-0.72864
1026	-0.40357
1027	-0.20852
1028	-9.8805e-002
1029	-3.6889e-002
1030	-3.9924e-003
1031	1.8957e-002
1032	3.766e-002
1033	5.2756e-002
1034	7.3195e-002
1035	-1.2073
1036	-0.72821
1037	-0.40192
1038	-0.20593
1039	-9.5641e-002
1040	-3.3263e-002
1041	8.029e-004
1042	2.1934e-002
1043	3.6984e-002
1044	5.0426e-002
1045	6.9116e-002
1046	-1.2047
1047	-0.72575
1048	-0.39374
1049	-0.1943
1050	-8.2692e-002
1051	-2.091e-002
1052	1.0592e-002
1053	2.6123e-002
1054	3.4783e-002
1055	4.3648e-002
1056	5.7771e-002
1057	-1.1723
1058	-0.71405
1059	-0.35408
1060	-0.15325
1061	-5.1834e-002
1062	-1.1727e-003
1063	2.0649e-002
1064	2.8763e-002
1065	3.1489e-002
1066	3.4059e-002
1067	4.3423e-002
1068	-0.9766
1069	-0.45127
1070	-0.20532
1071	-7.203e-002
1072	-1.1315e-002
1073	1.7007e-002
1074	2.7383e-002
1075	2.9688e-002
1076	2.9849e-002
1077	3.2298e-002
1078	3.8833e-002
1079	-0.57827
1080	-8.2867e-002
1081	-5.3582e-002
1082	-4.2262e-003
1083	1.341e-002
1084	2.6156e-002
1085	3.1527e-002
1086	3.1853e-002
1087	3.0687e-002
1088	3.1531e-002
1089	3.6061e-002
1090	-0.57795
1091	-6.4532e-002
1092	-3.3884e-002
1093	1.9281e-002
1094	2.9759e-002
1095	3.1076e-002
1096	2.7232e-002
1097	2.2367e-002
1098	1.882e-002
1099	1.8361e-002
1100	2.0469e-002
1101	-0.91805
1102	-0.40298
1103	-0.14721
1104	-2.5879e-002
1105	1.5881e-002
1106	2.9245e-002
1107	2.997e-002
1108	2.6181e-002
1109	2.2049e-002
1110	1.9583e-002
1111	2.4793e-002
1112	-0.9766
1113	-0.45127
1114	-0.20532
1115	-7.203e-002
1116	-1.1315e-002
1117	1.7007e-002
1118	2.7383e-002
1119	2.9688e-002
1120	2.9849e-002
1121	3.2298e-002
1122	3.8833e-002
1123	-0.97928
1124	-0.45311
1125	-0.21865
1126	-9.2359e-002
1127	-3.1135e-002
1128	1.63e-003
1129	1.9798e-002
1130	3.0125e-002
1131	3.6385e-002
1132	4.3075e-002
1133	5.4348e-002
1134	-0.97899
1135	-0.45384
1136	-0.22309
1137	-9.912e-002
1138	-3.9736e-002
1139	-8.704e-003
1140	1.0507e-002
1141	2.859e-002
1142	4.0123e-002
1143	5.0051e-002
1144	6.5436e-002
1145	-0.97904
1146	-0.45386
1147	-0.22393
1148	-0.10068
1149	-4.1939e-002
1150	-1.1898e-002
1151	2.9336e-003
1152	2.7578e-002
1153	4.1305e-002
1154	5.2457e-002
1155	6.9426e-002
1156	-0.97899
1157	-0.45384
1158	-0.22309
1159	-9.912e-002
1160	-3.9736e-002
1161	-8.704e-003
1162	1.0507e-002
1163	2.859e-002
1164	4.0123e-002
1165	5.0051e-002
1166	6.5436e-002
1167	-0.97928
1168	-0.45311
1169	-0.21865
1170	-9.2359e-002
1171	-3.1134e-002
1172	1.63e-003
1173	1.9798e-002
1174	3.0125e-002
1175	3.6385e-002
1176	4.3075e-002
1177	5.4348e-002
1178	-0.9766
1179	-0.45127
1180	-0.20532
1181	-7.203e-002
1182	-1.1315e-002
1183	1.7007e-002
1184	2.7383e-002
1185	2.9688e-002
1186	2.9849e-002
1187	3.2298e-002
1188	3.8833e-002
1189	-0.91805
1190	-0.40298
1191	-0.14721
1192	-2.5879e-002
1193	1.5881e-002
1194	2.9246e-002
1195	2.997e-002
1196	2.6181e-002
1197	2.2049e-002
1198	1.9583e-002
1199	2.4793e-002
1200	-0.57795
1201	-6.4532e-002
1202	-3.3884e-002
1203	1.9281e-002
1204	2.9759e-002
1205	3.1076e-002
1206	2.7233e-002
1207	2.2367e-002
1208	1.882e-002
1209	1.8361e-002
1210	2.0469e-002
1211	-0.60788
1212	1.0405e-002
1213	1.8502e-002
1214	3.9688e-002
1215	3.1523e-002
1216	2.3921e-002
1217	1.6708e-002
1218	1.1017e-002
1219	7.0488e-003
1220	6.3482e-003
1221	8.691e-003
1222	-0.57795
1223	-6.4532e-002
1224	-3.3884e-002
1225	1.9281e-002
1226	2.9759e-002
1227	3.1076e-002
1228	2.7232e-002
1229	2.2367e-002
1230	1.882e-002
1231	1.8361e-002
1232	2.0469e-002
1233	-0.57827
1234	-8.2867e-002
1235	-5.3582e-002
1236	-4.2262e-003
1237	1.341e-002
1238	2.6156e-002
1239	3.1527e-002
1240	3.1853e-002
1241	3.0687e-002
1242	3.1531e-002
1243	3.6061e-002
1244	-0.57654
1245	-8.1252e-002
1246	-5.8636e-002
1247	-1.4034e-002
1248	3.6162e-004
1249	1.4845e-002
1250	3.0371e-002
1251	3.7647e-002
1252	3.9715e-002
1253	4.2534e-002
1254	5.1118e-002
1255	-0.57587
1256	-8.1224e-002
1257	-6.0634e-002
1258	-1.7072e-002
1259	-4.9639e-003
1260	4.4261e-003
1261	2.7056e-002
1262	4.0321e-002
1263	4.5108e-002
1264	4.9752e-002
1265	6.1833e-002
1266	-0.57594
1267	-8.1092e-002
1268	-6.0885e-002
1269	-1.7726e-002
1270	-6.2466e-003
1271	1.9928e-004
1272	2.531e-002
1273	4.1035e-002
1274	4.6878e-002
1275	5.2256e-002
1276	6.5693e-002
1277	-0.57587
1278	-8.1224e-002
1279	-6.0634e-002
1280	-1.7072e-002
1281	-4.9638e-003
1282	4.4261e-003
1283	2.7056e-002
1284	4.0321e-002
1285	4.5108e-002
1286	4.9752e-002
1287	6.1833e-002
1288	-0.57654
1289	-8.1252e-002
1290	-5.8636e-002
1291	-1.4034e-002
1292	3.6168e-004
1293	1.4845e-002
1294	3.0371e-002
1295	3.7647e-002
1296	3.9715e-002
1297	4.2534e-002
1298	5.1118e-002
1299	-0.57827
1300	-8.2867e-002
1301	-5.3582e-002
1302	-4.2262e-003
1303	1.341e-002
1304	2.6156e-002
1305	3.1527e-002
1306	3.1853e-002
1307	3.0687e-002
1308	3.1531e-002
1309	3.6061e-002
1310	-0.57795
1311	-6.4532e-002
1312	-3.3884e-002
1313	1.9281e-002
1314	2.9759e-002
1315	3.1076e-002
1316	2.7232e-002
1317	2.2367e-002
1318	1.882e-002
1319	1.8361e-002
1320	2.0469e-002
1321	-0.60788
1322	1.0404e-002
1323	1.8502e-002
1324	3.9688e-002
1325	3.1523e-002
1326	2.3921e-002
1327	1.6708e-002
1328	1.1017e-002
1329	7.0488e-003
1330	6.3482e-003
1331	8.691e-003
1332	-0.92353
1333	-1.2383
1334	-1.2232
1335	-1.2416
1336	-1.2479
1337	-1.2502
1338	-1.2479
1339	-1.2416
1340	-1.2232
1341	-1.2383
1342	-0.92353
1343	-1.2383
1344	-1.6471
1345	-1.6587
1346	-1.6978
1347	-1.7153
1348	-1.7214
1349	-1.7153
1350	-1.6978
1351	-1.6587
1352	-1.6471
1353	-1.2383
1354	-1.2232
1355	-1.6587
1356	-1.6826
1357	-1.7292
1358	-1.7498
1359	-1.7566
1360	-1.7498
1361	-1.7292
1362	-1.6826
1363	-1.6587
1364	-1.2232
1365	-1.2416
1366	-1.6978
1367	-1.7292
1368	-1.7848
1369	-1.8104
1370	-1.8189
1371	-1.8104
1372	-1.7848
1373	-1.7292
1374	-1.6978
1375	-1.2416
1376	-1.2479
1377	-1.7153
1378	-1.7498
1379	-1.8104
1380	-1.8387
1381	-1.848
1382	-1.8387
1383	-1.8104
1384	-1.7498
1385	-1.7153
1386	-1.2479
1387	-1.2502
1388	-1.7214
1389	-1.7566
1390	-1.8189
1391	-1.848
1392	-1.8579
1393	-1.848
1394	-1.8189
1395	-1.7566
1396	-1.7214
1397	-1.2502
1398	-1.2479
1399	-1.7153
1400	-1.7498
1401	-1.8104
1402	-1.8387
1403	-1.848
1404	-1.8387
1405	-1.8104
1406	-1.7498
1407	-1.7153
1408	-1.2479
1409	-1.2416
1410	-1.6978
1411	-1.7292
1412	-1.7848
1413	-1.8104
1414	-1.8189
1415	-1.8104
1416	-1.7848
1417	-1.7292
1418	-1.6978
1419	-1.2416
1420	-1.2232
1421	-1.6587
1422	-1.6826
1423	-1.7292
1424	-1.7498
1425	-1.7566
